code,ergp_line_item,mda_code,agency,mother_ministry,amount,alignment,confidence,reason,mandate_deviation_score
ERGP14232134,AUTOMATION/ACQUISITION OF ROBUST SOFTWARE TO AID THE PROGRAMMED FINANCIAL REFORMS IN IN FINANCE & ACCOUNTS FOR EFFICIENT DECISION MAKING,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,51800000.0,YES,HIGH,This budget item directly supports the Ministry of Defence's statutory function to manage defense budget allocation across service branches by improving financial management systems and decision-making capabilities within the agency.,0
ERGP14232140,"DIGITALIZATION OF REVENUE MEASUREMENTS, ACCOUNTING AND REPORTING TO SUPPORT BUDGET IMPLEMENTATION AND PERFORMANCE",116001001,MINISTRY OF DEFENCE - MOD HQTRS,,25900000.0,PARTIAL,MEDIUM,"While digitalization of revenue measurements and accounting systems could support the Ministry's statutory function of managing defense budget allocation across service branches, this appears to be a general financial management initiative that doesn't directly relate to the Ministry's core defense and military oversight responsibilities.",50
ERGP14232144,"DOCUMENTATION & VERIFICATION OF FIXED AND MOVABLE ASSETS IN ALL THE DEFENCE FORMATIONS AS WELL AS INVENTORY VALUATION EXERCISE, CODING AND",116001001,MINISTRY OF DEFENCE - MOD HQTRS,,37100000.0,YES,HIGH,"Documentation and verification of defense assets directly supports the Ministry's statutory function to manage defense budget allocation, oversee defense infrastructure and military bases, and provide civilian oversight of armed forces resources.",0
ERGP14232147,"CONNSTRUCTION OF 1No 4 BBEDROOM BONGALOW IN DEFENCE SCIENCE SECONDARY SCHOOL, ZANGON KATAF",116001001,MINISTRY OF DEFENCE - MOD HQTRS,,60331058.0,YES,HIGH,Construction of residential facilities at Defence Science Secondary School falls within the Ministry's mandate to manage defense infrastructure and oversee military training institutions.,0
ERGP14232150,IMPLEMENTATION OF NATIONAL POLICY ON EDUCATION (JCCE & NCE) IN DEFENCE SCHOOLS,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,8400000.0,PARTIAL,MEDIUM,"While the Ministry of Defence operates military training institutions and coordinates professional military education as part of its statutory functions, implementing general national education policies (JCCE & NCE) in defence schools extends beyond core defense and security mandates into broader educational administration.",50
ERGP14232151,IMPLEMENTATION OF BUDGET OFFICE OF THE FEDERATION (BOF)'S BUDGET MONITORING & EVALUATION EXERCISE IN THE MINISTRY AND ITS AGENCIES,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,49700000.0,NO,HIGH,"This budget item relates to internal budget monitoring and evaluation processes that fall outside the Ministry of Defence's core mandate of defense policy, military oversight, and national security operations.",100
ERGP14232153,"CONPENDIUM OF NATIONAL DEFENCE STATISTICS (PHASE 3)
",116001001,MINISTRY OF DEFENCE - MOD HQTRS,,12390000.0,YES,HIGH,"Compiling national defense statistics directly supports the Ministry's core mandate to formulate defense policy, manage defense budget allocation, and provide strategic oversight of armed forces operations.",0
ERGP14232156,"RESEARCH AND DEVELOPMENT
",116001001,MINISTRY OF DEFENCE - MOD HQTRS,,15400000.0,YES,HIGH,"Research and development directly supports the Ministry's mandate to procure military equipment, oversee defense industries and military production capabilities, and enhance military effectiveness through technological advancement.",0
ERGP14232157,"PROCUREMENT OF AUDIT SPECIALIZED MATERIALS
",116001001,MINISTRY OF DEFENCE - MOD HQTRS,,5600000.0,NO,HIGH,"Procurement of audit specialized materials falls under financial oversight and auditing functions, which are not part of the Ministry of Defence's mandate focused on military operations, defense policy, and armed forces coordination.",100
ERGP14232160,AUDIT INSPECTION OF UNITS AND MILITARY FORMATIONS OF THE MINISTRY IN THE SIX GEO-POLITICAL ZONES OF THE COUNTRY,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,16800000.0,YES,HIGH,Audit inspection of military units and formations across all geo-political zones directly supports the Ministry's core mandate to provide civilian oversight of the armed forces and ensure proper management of defense resources and operations.,0
ERGP14232161,"PROVISION OF LIBRARY AND INFORMATION MATERIALS
",116001001,MINISTRY OF DEFENCE - MOD HQTRS,,44141701.0,PARTIAL,MEDIUM,"While library and information materials could support military training institutions and professional military education which are within the Ministry's mandate, this appears to be a very indirect connection to core defense functions.",50
ERGP14232162,ESTABLISHMENT OF A FRAME WORK FOR A STRONG PROFESSIONAL PEOPLE ORIENTED AND WELL EQUIPPED AFN CONSIDERING COMMMITTEE REPORT ON THE,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,7000000.0,YES,HIGH,"Establishing a framework for a strong, professional, people-oriented and well-equipped Armed Forces of Nigeria directly aligns with the Ministry's core mandate to provide civilian oversight, formulate defense policy, coordinate military services, and ensure military effectiveness.",0
ERGP14232163,"PERFORMANCE EVALUATION AND EFFECTIVENESS ANALYSIS PROGRAMME
",116001001,MINISTRY OF DEFENCE - MOD HQTRS,,6300000.0,YES,HIGH,Performance evaluation and effectiveness analysis directly supports the Ministry's core mandate to provide civilian oversight of armed forces and manage defense operations by assessing military performance and operational effectiveness.,0
ERGP14232165,"MINISTRY OF DEFENCE FLAGSHIP PROJECTS/PROGRAMMES REPORT TO OSGF
",116001001,MINISTRY OF DEFENCE - MOD HQTRS,,8316000.0,YES,HIGH,"Reporting flagship defense projects and programmes to the Office of the Secretary to the Government of the Federation falls within the Ministry's mandate to provide civilian oversight, coordinate defense operations, and maintain accountability in defense policy implementation.",0
ERGP14232166,IMPLEMENTATION OF INTERNATIONAL PUBLIC ACCOUNTING STANDARDS (IPSAS),116001001,MINISTRY OF DEFENCE - MOD HQTRS,,38500000.0,PARTIAL,MEDIUM,"While IPSAS implementation relates to financial management and accountability which supports the Ministry's budget management functions, it is primarily an administrative/accounting reform rather than a core defense or military oversight activity.",50
ERGP14232167,DIGITIZATION & DIGITALIZATION FOR MOD ENTERPRISE CONTENT MANAGEMENT SYSTEM,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,167300000.0,YES,HIGH,"Digitization and enterprise content management systems are essential for modern defense administration, enabling the Ministry to effectively coordinate military services, manage defense budgets, oversee operations, and maintain secure information systems required for national security functions.",0
ERGP14232169,PRODUCTION OF STOCK VERIFICATION SECURITY MATERIALS.,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,3500000.0,PARTIAL,MEDIUM,"While the Ministry of Defence oversees defense procurement and equipment management which could include security materials, ""stock verification"" suggests an inventory/audit function that may fall outside their primary mandate of defense policy and military coordination.",50
ERGP14232170,DEVELOPMENT OF A 5-10 YEARS DEFENCE SECTOR CAPITAL REQUIREMENTS,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,3500000.0,YES,HIGH,"Developing long-term defense sector capital requirements directly aligns with the Ministry's core mandate to formulate defense policy, manage defense budget allocation, and oversee procurement of military equipment and platforms.",0
ERGP14232171,FEDERAL CIVIL SERVICE STRATEGY AND IMPLEMENTATION PLAN 2021-2025 (FCSSIP 25),116001001,MINISTRY OF DEFENCE - MOD HQTRS,,23800000.0,NO,HIGH,"The Federal Civil Service Strategy and Implementation Plan is a broad civil service reform initiative that falls outside the Ministry of Defence's specific mandate of defense policy, military oversight, and national security operations.",100
ERGP14232172,MARKET SURVEY ON MINISTRY'S MOVABLE ASSETS,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,3500000.0,YES,HIGH,Conducting market surveys on movable assets falls within the Ministry's mandate to manage defense budget allocation and oversee procurement of military equipment and defense infrastructure.,0
ERGP14232173,PROJECT MONITORING AND EVALUATION,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,14000000.0,YES,HIGH,"Project monitoring and evaluation is essential for the Ministry of Defence to oversee defense budget allocation, track procurement of military equipment, and ensure effective implementation of defense policies and operations across all service branches.",0
ERGP14232174,INVENTORY/CODING OF SERVICEABLE ITEMS IN CPUs NATION WIDE,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,3500000.0,YES,HIGH,"Inventory and coding of serviceable items in Central Processing Units nationwide directly supports the Ministry's statutory function to manage defense budget allocation, oversee military equipment procurement, and coordinate defense infrastructure across service branches.",0
ERGP14232175,PURCHASE OF A7 TAB FOR 8 LAWYERS (E-LIBRARY),116001001,MINISTRY OF DEFENCE - MOD HQTRS,,7000000.0,PARTIAL,MEDIUM,"While purchasing tablets for legal staff could support the Ministry's mandate to supervise military justice and discipline systems, the specific justification as ""E-library"" suggests more general legal research rather than direct defense policy or military oversight functions.",50
ERGP14232176,STOCK VERIFICATION EXERCISE IN MILITARY FORMATIONS IN NIGERIA,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,21000000.0,YES,HIGH,"Stock verification exercise in military formations directly falls under the Ministry of Defence's mandate to provide civilian oversight of armed forces, manage defense budget allocation, and oversee procurement and management of military equipment and resources.",0
ERGP14232177,ALTERNATIVE DISPUTE RESOLUTION (ADR),116001001,MINISTRY OF DEFENCE - MOD HQTRS,,14000000.0,PARTIAL,MEDIUM,"While ADR could relate to military justice systems or civil-military relations within the Ministry's mandate, it appears tangential to core defense functions and may be better suited for civilian justice agencies.",50
ERGP14232178,DIGITALIZATION OF ALL LAW SUIT FILED AGAINST THE GOVERNMENT,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,6230000.0,NO,HIGH,"Digitalization of lawsuits filed against the government is a general administrative/legal function that falls outside the Ministry of Defence's specific mandate of defense policy, military oversight, and national security operations.",100
ERGP14232179,PREPARATION OF AN OUTLINE BUSINESS CASE/FULL BUSINESS CASE (ADVANCE COURSE),116001001,MINISTRY OF DEFENCE - MOD HQTRS,,5600000.0,YES,HIGH,Preparing business cases for advanced courses directly supports the Ministry's statutory function to coordinate military training and professional military education while ensuring proper budget management and procurement processes for defense capabilities.,0
ERGP14232180,EXPLORING THE FRONTIERS OF NON-KINETIC APPROACH IN TACKLING ORGANISE CRIME AND INSECURITY IN NIGERIA,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,29400000.0,YES,HIGH,"This budget item directly aligns with the Ministry of Defence's statutory functions to formulate defense policy, coordinate counter-insurgency operations, and develop comprehensive security strategies that include non-kinetic approaches to combat organized crime and insecurity threats facing Nigeria.",0
ERGP14232181,PUBLIC PRIVATE PARTNERSHIP (PPP) PROJECT RISK ANALYSIS AND MITIGATION (ADVANCE COURSE) BY NIGERIAN INSTITUTE OF INFRASTRUCTURE & PUBLIC PRIVATE,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,3500000.0,NO,HIGH,"Public-private partnership risk analysis training falls outside the Ministry of Defence's core mandate of providing civilian oversight of armed forces, defense policy formulation, and national security coordination.",100
ERGP14232183,ASSESSMENT OF NIGERIAN ARMY APCs AND OPERATION IN CONJUCTION WITH THE NIGERIAN ARMY,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,15400000.0,YES,HIGH,This budget item directly aligns with the Ministry of Defence's statutory function to coordinate Nigerian Army operations and oversee military equipment assessment as part of their civilian oversight responsibilities.,0
ERGP14232184,SYSTEM STUDY AND REVIEW,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,14000000.0,YES,HIGH,"System study and review directly supports the Ministry's core mandate to formulate defense policy, coordinate military services, and provide civilian oversight through analytical assessment of defense systems and operations.",0
ERGP14232185,UPGRADING OF ARMY AFFAIRS DEPARTMENT REGISTRY AND ESTABLISHMENT OF FILES/MAIL TRACKER,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,33501017.0,YES,HIGH,Upgrading registry systems and establishing file/mail tracking for the Army Affairs Department directly supports the Ministry's statutory function to provide civilian oversight of the Nigerian Army and manage defense administration effectively.,0
ERGP14232187,EVALUATION OF ARMY DECOMMISSIONED EQUIPMENT IN ALL ARMY FORMATIONS ACROSS THE COUNTRY,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,18200000.0,YES,HIGH,"This budget item directly supports the Ministry of Defence's statutory function to manage defense budget allocation across service branches and oversee defense infrastructure, as evaluating decommissioned Army equipment is essential for effective asset management and procurement planning.",0
ERGP14232188,IMPLEMENTATION OF COMPACT WITH G7++ WITH THE NIGERIAN NAVY FOR THE ESTABLISHMENT OF MARITIME SAFETY AND SECURITY FOR INTERNATIONAL TRADE,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,19250000.0,YES,HIGH,"This budget item directly aligns with the Ministry of Defence's statutory functions to coordinate naval operations, manage defense diplomacy and bilateral military cooperation, and ensure national security through maritime domain awareness and protection of international trade routes.",0
ERGP14232190,PAYMENT OF BALANCE OF PROCUREMENT OF ARMOURED AIRBOAT FOR THE ARMED FORCES,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,1821400000.0,YES,HIGH,"The procurement of armoured airboats for the armed forces directly falls under the Ministry of Defence's statutory function to procure military equipment, weapons systems and platforms for the Nigerian Armed Forces.",0
ERGP14232191,CONVENTION ON CLUSTER MUNITIONS IN NIGERIA,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,21000000.0,YES,HIGH,"The Convention on Cluster Munitions relates directly to defense policy formulation, weapons procurement oversight, and international defense diplomacy coordination, which are core statutory functions of the Ministry of Defence headquarters.",0
ERGP14232194,BARRACKS REHABILITATION/REMODELLING - SOUTH SOUTH,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,245000000.0,YES,HIGH,Barracks rehabilitation falls directly under the Ministry of Defence's mandate to manage defense infrastructure and military bases as specified in statutory function (p).,0
ERGP14232195,BARRACKS REHABILITATION/REMODELLING - SOUTH WEST,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,245000000.0,YES,HIGH,"Managing defense infrastructure and military bases is explicitly within the Ministry of Defence's statutory functions, and barracks rehabilitation directly supports this mandate.",0
ERGP14232196,BARRACKS REHABILITATION/REMODELLING - SOUTH EAST,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,245000000.0,YES,HIGH,Barracks rehabilitation/remodelling directly falls under the Ministry's mandate to manage defense infrastructure and military bases as outlined in statutory function (p).,0
ERGP14232197,BARRACKS REHABILITATION/REMODELLING - NORTH CENTRAL,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,245000000.0,YES,HIGH,Barracks rehabilitation falls directly within the Ministry of Defence's mandate to manage defense infrastructure and military bases as specified in statutory function (p).,0
ERGP14232198,BARRACKS REHABILITATION/REMODELLING - NORTH WEST,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,245000000.0,YES,HIGH,"Managing defense infrastructure and military bases is explicitly within the Ministry of Defence's statutory functions, and barracks rehabilitation directly supports military operational readiness and personnel welfare.",0
ERGP14232199,BARRACKS REHABILITATION/REMODELLING - NORTH EAST,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,245000000.0,YES,HIGH,Barracks rehabilitation in the North East directly supports the Ministry's mandate to manage defense infrastructure and military bases while supervising counter-insurgency operations against Boko Haram in that region.,0
ERGP14232200,RENOVATION OF CEMETERIES IN SIX (6) GEO-POLITICAL ZONES,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,60200000.0,PARTIAL,MEDIUM,"While cemetery renovation is not explicitly within the Ministry of Defence's core mandate, it could relate to maintaining military cemeteries or memorials for fallen service members as part of veterans' affairs responsibilities.",50
ERGP14232201,SUPPORT TO THE NIGERIAN LEGION AND CONDUCT OF ELECTION,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,56000000.0,PARTIAL,MEDIUM,"While supporting the Nigerian Legion aligns with the ministry's veterans' affairs mandate, conducting elections falls outside the core defense and military oversight responsibilities of the Ministry of Defence.",50
ERGP14232202,PROVISION OF MATERIALS FOR ARMED FORCES REMEMBRANCE DAY CELEBRATION,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,72800000.0,YES,HIGH,"Providing materials for Armed Forces Remembrance Day celebration falls under the Ministry's mandate to manage veterans' affairs, coordinate civil-military relations, and maintain civilian oversight of armed forces activities including ceremonial functions that honor military service.",0
ERGP14232203,REHABILITATION OF OBIOZARA FORWARD OPERATING BASE,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,108500000.0,YES,HIGH,Rehabilitation of a forward operating base directly falls under the Ministry of Defence's mandate to manage defense infrastructure and military bases while supporting counter-insurgency operations.,0
ERGP14232204,PROCUREMENT OF ARMS AND AMMUNITIONS FOR THE ARMED FORCES OF NIGERIA,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,688800000.0,YES,HIGH,"Procurement of arms and ammunition directly falls under the Ministry of Defence's statutory function (f) to procure military equipment, weapons systems and platforms for the Armed Forces of Nigeria.",0
ERGP14232205,REFURBISHMENT AND PROCUREMENT OF HARRIS RF-5/7 MILITARY COMMUNICATION EQUIPMENT,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,105000000.0,YES,HIGH,"Procurement of military communication equipment directly falls under the Ministry's statutory function to procure military equipment, weapons systems and platforms for the Nigerian Armed Forces.",0
ERGP14232206,ANTI-PERSONNEL DEMINING IN CONTAMINATED AREAS OF THE NORTH EAST AND DOMESTICATION OF THE CONVENTION IN NIGERIA,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,72800000.0,YES,HIGH,"Anti-personnel demining in the North East directly supports the Ministry's mandate to coordinate counter-insurgency operations, ensure territorial security, and manage military operations in areas affected by Boko Haram insurgency.",0
ERGP14232208,ANTIPERSONNEL MINE BAN CONVENTION,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,42000000.0,YES,HIGH,"The Antipersonnel Mine Ban Convention directly relates to the Ministry of Defence's mandate to formulate defense policy, manage international defense diplomacy, and ensure compliance with international military treaties and humanitarian law.",0
ERGP14232210,ESTABLISHMENT OF A MILITARY INDUSTRIAL COMPLEX (MIC),116001001,MINISTRY OF DEFENCE - MOD HQTRS,,21000000.0,YES,HIGH,"Establishing a Military Industrial Complex directly aligns with the Ministry of Defence's statutory function to oversee defense industries and military production capabilities, as well as procure military equipment and weapons systems.",0
ERGP14232212,PRODUCTION OF ANNUAL REPORT ON BILATERAL COOPERATION WITH FRIENDLY COUNTRIES,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,91000000.0,YES,HIGH,Production of annual reports on bilateral cooperation with friendly countries directly supports the agency's statutory function of managing defense diplomacy and bilateral military cooperation.,0
ERGP14232213,ARMS TRADE TREATY (ATT),116001001,MINISTRY OF DEFENCE - MOD HQTRS,,56000000.0,YES,HIGH,Arms Trade Treaty (ATT) compliance falls directly within the Ministry of Defence's mandate to procure military equipment and manage defense diplomacy and international military cooperation.,0
ERGP14232214,"PROVISION OF MOMAS PREPAID ELECTRICITY METERS TO MILITARY FORMATIONS NATION WIDE (OJO MILITARY CANTONMENT, LAGOS AND 82 DIV. ENUGU PHASE II)",116001001,MINISTRY OF DEFENCE - MOD HQTRS,,378000000.0,YES,HIGH,Providing electricity meters to military formations directly supports the Ministry of Defence's mandate to manage defense infrastructure and military bases as outlined in statutory function (p).,0
ERGP14232215,DOMESTICATION AND IMPLEMENTATION OF THE CONVENTION ON CLUSTER MUNITIONS IN NIGERIA,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,53200000.0,YES,HIGH,"The domestication and implementation of the Convention on Cluster Munitions directly relates to the Ministry of Defence's statutory functions of formulating national defense policy, managing defense diplomacy and bilateral military cooperation, and overseeing military equipment procurement policies in compliance with international treaties.",0
ERGP14232216,GEOGRAPHICAL INFORMATION SYSTEM (GIS) PHASE 3 FOR CHARTING MILITARY LANDED PROPERTIES NATION WIDE.,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,49000000.0,YES,HIGH,Charting military landed properties nationwide directly supports the Ministry of Defence's statutory function to manage defense infrastructure and military bases while providing essential oversight of military assets.,0
ERGP14232219,TECHNICAL SENSITIZATION ON INSTITUTIONAL FRAMEWORK OF APPOVED NATIONAL MARITIME SECURITY STRATEGY,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,18900000.0,YES,HIGH,"Technical sensitization on the approved National Maritime Security Strategy directly aligns with the Ministry of Defence's mandate to formulate national defense policy, coordinate military services including the Navy, and ensure national security and territorial integrity.",0
ERGP14232220,OPERATIONALIZATION OF THE NIGERIA-EQUATORIAL GUINEA COMBINE MARITIME POLICING & SECURITY PATROL COMMITTEE,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,19600000.0,YES,HIGH,"This budget item directly aligns with the Ministry of Defence's statutory functions of coordinating defense diplomacy, bilateral military cooperation, and managing maritime security operations as part of national defense policy.",0
ERGP14232221,"ASSESSMENT OF VARIOUS NAF PROJECTS ACROSS THE 6 GEO-POLITICAL ZONES
",116001001,MINISTRY OF DEFENCE - MOD HQTRS,,32200000.0,YES,HIGH,"Assessment of Nigerian Air Force projects across geopolitical zones directly aligns with the Ministry's core mandate to coordinate military services, manage defense budget allocation, and oversee defense infrastructure and military bases.",0
ERGP14232222,MONITORING AND EVALUATION OF THE ACTIVITIES IN ALL AIR FORCE UNITS/FORMATION,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,21000000.0,YES,HIGH,Monitoring and evaluation of Air Force units/formations directly falls under the Ministry's statutory function to provide civilian oversight and coordinate Nigerian Air Force operations.,0
ERGP14232223,"AIRSPACE MANAGEMENT AND CONTROL
",116001001,MINISTRY OF DEFENCE - MOD HQTRS,,70000000.0,PARTIAL,MEDIUM,"While airspace management involves national security and defense coordination which falls under MOD's mandate, primary airspace control is typically handled by civil aviation authorities rather than defense ministries directly.",50
ERGP14232224,"INSPECTION OF MANUFACTURING PLANTS/SITES OF NAF AIRCRAFT PRODUCTION
",116001001,MINISTRY OF DEFENCE - MOD HQTRS,,14000000.0,YES,HIGH,"This budget item directly aligns with the Ministry's statutory function to oversee defense industries and military production capabilities, specifically related to Nigerian Air Force aircraft manufacturing oversight.",0
ERGP14232225,TENDERING OPROCESSES AND ADVERTISEMENT FOR CAPITAL PROJECTS AND RECURRENT PROCUREMENT,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,12600000.0,YES,HIGH,"Tendering processes and advertisement for capital projects and recurrent procurement directly supports the Ministry's statutory function to procure military equipment, weapons systems, and manage defense budget allocation across service branches.",0
ERGP14232226,"PROCUREMENT OF SOFTWARE AND OTHER RELEVANT ICT INFRASTRUCTURE
",116001001,MINISTRY OF DEFENCE - MOD HQTRS,,5740000.0,YES,HIGH,"Procurement of software and ICT infrastructure directly supports the Ministry's core functions of defense management, military coordination, intelligence operations, and overall command and control capabilities essential for national security operations.",0
ERGP14232227,"PUBLICATION OF MONTHLY JOURNAL AND MAGAZINES
",116001001,MINISTRY OF DEFENCE - MOD HQTRS,,12810000.0,PARTIAL,MEDIUM,"While publications could support defense communication and policy dissemination functions, monthly journals and magazines are not explicitly within the core defense oversight and military coordination mandate of the Ministry of Defence headquarters.",50
ERGP14232228,REHABILITATION OF MOD SHIP HOUSE ABUJA/UPGRADING OF MINISTRY OF DEFENCE MULTIPURPOSE HALL,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,70000000.0,YES,HIGH,Rehabilitating MOD Ship House and upgrading the multipurpose hall directly supports the ministry's statutory function to manage defense infrastructure and maintain facilities necessary for effective civilian oversight and coordination of the armed forces.,0
ERGP14232229,RENOVATION OF MOD CPU'S (MINNA& CALABAR) AND FURNISHING OF CPU MAKURDI/ASSESSMENT OF PROJECT AT VARIOUS SITES,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,32900000.0,YES,HIGH,Renovating and furnishing Ministry of Defence Central Processing Units at various locations directly supports the agency's mandate to manage defense infrastructure and maintain operational facilities for military administration and coordination.,0
ERGP14232230,PROCUREMENT OF STORE CAPITAL ITEMS AND AUTOMATION OF MOD STORES AND PROCUREMENT OF AIR CONDITIONERS,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,54460000.0,YES,HIGH,"This budget item directly supports the Ministry of Defence's statutory functions of procuring military equipment and managing defense infrastructure, which are core mandates for maintaining operational readiness and civilian oversight of armed forces.",0
ERGP14232231,PROCUREMENT OF 3 Nos UTILITY VEHICLES AND PROVISION OF MECHANICAL TOOLS AND EQUIPMENT AT MOD MECHANIC WORK SHOP,116001001,MINISTRY OF DEFENCE - MOD HQTRS,,126000000.0,YES,HIGH,"The procurement of utility vehicles and mechanical tools for the MOD workshop directly supports the ministry's statutory functions of managing defense infrastructure, coordinating military operations, and maintaining the equipment necessary for civilian oversight of armed forces.",0
ERGP14232232,"REPLACEMENT OF 2Nos 30,000L OVERHEAD TANK WITH2 Nos 30, 000L FIBRE GLASS TANK",116001001,MINISTRY OF DEFENCE - MOD HQTRS,,35000000.0,YES,HIGH,"Replacing overhead water tanks at MOD headquarters falls under managing defense infrastructure and military bases, which is essential for maintaining operational facilities that support the ministry's defense coordination functions.",0
