mda_code,mda_name,mandate_description
521027038,"144. FEDERAL MEDICAL CENTRE, EBUTE METTA","The Federal Medical Centre, Ebute Metta, is a federal tertiary healthcare institution located in Ebute Metta, Lagos State, Nigeria. Established under Federal Ministry of Health, the Centre is strategically located in Lagos mainland serving Lagos State and South-West Nigeria. Ebute Metta's location in Lagos, Nigeria's commercial capital and most populous city with over 20 million people, creates enormous healthcare demands requiring multiple tertiary facilities. The Centre serves Lagos mainland and surrounding areas providing specialized medical services complementing Lagos University Teaching Hospital and other tertiary facilities in the state. The Centre's core mandate is to provide comprehensive tertiary healthcare services, facilitate training of healthcare professionals and conduct medical research. Specific functions include: (a) to provide specialized medical services across major clinical disciplines including internal medicine, general surgery, pediatrics, obstetrics and gynecology, orthopedics, ophthalmology, ENT, psychiatry and other specialties; (b) to serve as major referral center for secondary healthcare facilities in Lagos State; (c) to operate 24-hour emergency department providing accident, emergency and trauma care with high patient volumes; (d) to provide comprehensive diagnostic services including clinical laboratory (hematology, chemical pathology, medical microbiology, histopathology), advanced medical imaging (radiology, ultrasonography, CT scan, MRI), endoscopy and specialized investigations; (e) to operate intensive care units, high dependency units, coronary care units and neonatal intensive care units; (f) to provide inpatient services with large bed capacity across medical, surgical, pediatric, obstetric and gynecological wards; (g) to offer specialist outpatient clinics in various medical and surgical specialties with high patient throughput; (h) to provide comprehensive reproductive health services including antenatal care, safe delivery, postnatal care, family planning and immunization; (i) to operate modern theater complex for surgical procedures across specialties; (j) to provide clinical training for undergraduate medical students through affiliation with medical colleges; (k) to conduct postgraduate medical training including residency programmes in multiple specialties; (l) to provide internship training for medical doctors, pharmacists, medical laboratory scientists, nurses and allied health professionals; (m) to offer continuing medical education programmes; (n) to conduct clinical research and participate in multicenter research trials; (o) to maintain comprehensive pharmacy services; (p) to provide physiotherapy, occupational therapy and rehabilitation services; (q) to establish robust disease surveillance, infection prevention and control systems; (r) to provide public health services; (s) to maintain quality assurance and clinical governance structures; and (t) to collaborate with teaching hospitals, specialist hospitals and international health organizations."
521027062,"145. FEDERAL MEDICAL CENTRE, EPE","The Federal Medical Centre, Epe, is a federal tertiary healthcare institution located in Epe, Lagos State, Nigeria. Established under Federal Ministry of Health, the Centre serves Epe Division and eastern Lagos State providing specialized healthcare services to rapidly growing population in Lagos eastern corridor. Epe's location in Lagos eastern region, characterized by coastal communities and significant population growth, requires accessible tertiary healthcare facilities. The Centre serves as referral center for Epe, Ibeju-Lekki and surrounding Local Government Areas reducing healthcare access burden for residents previously traveling long distances to Lagos mainland for specialist care. The Centre's core mandate is to provide comprehensive tertiary healthcare services, train healthcare professionals and conduct medical research. Specific functions include: (a) to provide specialized medical services across major clinical disciplines including internal medicine, general surgery, pediatrics, obstetrics and gynecology, orthopedics, ophthalmology and other specialties; (b) to serve as referral center for secondary healthcare facilities in eastern Lagos State; (c) to operate 24-hour emergency department providing accident, emergency and trauma care; (d) to provide comprehensive diagnostic services including clinical laboratory, medical imaging and specialized investigations; (e) to operate intensive care unit, high dependency unit and neonatal intensive care unit; (f) to provide inpatient services across medical, surgical, pediatric and obstetric wards; (g) to offer specialist outpatient clinics in various specialties; (h) to provide maternal and child health services including antenatal care, safe delivery, postnatal care and family planning; (i) to operate theater facilities for surgical procedures; (j) to provide clinical training for medical students through affiliation arrangements; (k) to conduct residency training programmes; (l) to provide internship training for health professionals; (m) to offer continuing professional development; (n) to conduct clinical research; (o) to maintain pharmacy services; (p) to provide physiotherapy and rehabilitation services; (q) to establish disease surveillance and infection control systems; (r) to provide public health services; (s) to maintain quality assurance systems; and (t) to collaborate with Lagos State health authorities and other healthcare institutions."
521027027,"146. FEDERAL MEDICAL CENTRE, GUSAU ZAMFARA","The Federal Medical Centre, Gusau, is a federal tertiary healthcare institution located in Gusau, Zamfara State capital, North-West Nigeria. Established under Federal Ministry of Health, the Centre provides specialized healthcare services to Zamfara State and surrounding areas. Zamfara State, created in 1996 from Sokoto State, requires tertiary healthcare facilities to serve its population. The Centre serves as major referral center for Zamfara State providing comprehensive specialist medical services. The Centre's core mandate is to provide comprehensive tertiary healthcare services, facilitate clinical training of healthcare professionals and conduct medical research. Specific functions include: (a) to provide specialized medical care across major clinical specialties including internal medicine, general surgery, pediatrics, obstetrics and gynecology, orthopedics, ophthalmology, ENT and other disciplines; (b) to serve as primary referral center for secondary healthcare facilities throughout Zamfara State; (c) to operate 24-hour emergency department providing accident, emergency and trauma services; (d) to provide comprehensive diagnostic services including laboratory medicine, medical imaging and specialized investigations; (e) to operate intensive care unit, high dependency unit and neonatal intensive care unit; (f) to provide inpatient services across medical, surgical, pediatric, obstetric and gynecological wards; (g) to offer specialist outpatient clinics in various medical and surgical specialties; (h) to provide comprehensive maternal and child health services including antenatal care, safe delivery, postnatal care, immunization and family planning; (i) to operate theater facilities for surgical procedures across specialties; (j) to provide clinical training for undergraduate medical students through affiliation with medical schools; (k) to conduct residency training programmes for postgraduate medical education; (l) to provide internship training for medical graduates, pharmacists, medical laboratory scientists, nurses and other health professionals; (m) to offer continuing professional development programmes; (n) to conduct clinical and health systems research; (o) to maintain pharmacy services; (p) to provide physiotherapy and rehabilitation services; (q) to establish disease surveillance and infection prevention and control systems; (r) to provide public health services including health education; (s) to respond to disease outbreaks and public health emergencies; (t) to maintain quality assurance and patient safety systems; and (u) to collaborate with state health authorities, teaching hospitals and healthcare organizations."
521027049,"147. FEDERAL MEDICAL CENTRE, HONG, ADAMAWA STATE","The Federal Medical Centre, Hong, is a federal tertiary healthcare institution located in Hong, Hong Local Government Area of Adamawa State, Nigeria. Established under Federal Ministry of Health, the Centre provides specialized healthcare services to Adamawa State northern region and surrounding areas. Hong's location in northern Adamawa State creates strategic healthcare access point for communities in the region. The Centre serves as referral center for northern Adamawa State providing comprehensive specialist medical services. The Centre's core mandate is to provide comprehensive tertiary healthcare services, train healthcare professionals and conduct medical research. Specific functions include: (a) to provide specialized medical services across major clinical disciplines including internal medicine, general surgery, pediatrics, obstetrics and gynecology, orthopedics, ophthalmology and other specialties; (b) to serve as referral center for secondary healthcare facilities in Adamawa State northern senatorial zone and surrounding areas; (c) to operate 24-hour emergency department providing accident, emergency and trauma care; (d) to provide comprehensive diagnostic services including clinical laboratory, medical imaging and specialized investigations; (e) to operate intensive care unit, high dependency unit and neonatal intensive care unit; (f) to provide inpatient services across medical, surgical, pediatric and obstetric wards; (g) to offer specialist outpatient clinics; (h) to provide maternal and child health services including antenatal care, safe delivery, postnatal care and family planning; (i) to operate theater facilities for surgical procedures; (j) to provide clinical training for medical students; (k) to conduct residency training programmes; (l) to provide internship training for health professionals; (m) to offer continuing professional development; (n) to conduct clinical research; (o) to maintain pharmacy services; (p) to provide physiotherapy and rehabilitation services; (q) to establish disease surveillance and infection control systems; (r) to provide public health services; (s) to maintain quality assurance systems; and (t) to collaborate with state health authorities and healthcare institutions."
521027035,"148. FEDERAL MEDICAL CENTRE, JIGAWA STATE","The Federal Medical Centre, Jigawa State (also known as Federal Medical Centre, Birnin Kudu or Federal Medical Centre, Dutse area), is a federal tertiary healthcare institution serving Jigawa State, North-West Nigeria. Established under Federal Ministry of Health, the Centre provides specialized healthcare services to Jigawa State and surrounding areas. Jigawa State, created in 1991 from Kano State, requires tertiary healthcare facilities to serve its population. The Centre serves as referral center for Jigawa State providing comprehensive specialist medical services. The Centre's core mandate is to provide comprehensive tertiary healthcare services, facilitate clinical training of healthcare professionals and conduct medical research. Specific functions include: (a) to provide specialized medical care across major clinical specialties including internal medicine, general surgery, pediatrics, obstetrics and gynecology, orthopedics, ophthalmology, ENT and other disciplines; (b) to serve as referral center for secondary healthcare facilities throughout Jigawa State; (c) to operate 24-hour emergency department providing accident, emergency and trauma services; (d) to provide comprehensive diagnostic services including laboratory medicine, medical imaging and specialized investigations; (e) to operate intensive care unit, high dependency unit and neonatal intensive care unit; (f) to provide inpatient services across medical, surgical, pediatric and obstetric wards; (g) to offer specialist outpatient clinics in various specialties; (h) to provide maternal and child health services including antenatal care, safe delivery, postnatal care and family planning; (i) to operate theater facilities for surgical procedures; (j) to provide clinical training for medical students through affiliation arrangements; (k) to conduct residency training programmes; (l) to provide internship training for health professionals; (m) to offer continuing professional development; (n) to conduct clinical research; (o) to maintain pharmacy services; (p) to provide physiotherapy and rehabilitation services; (q) to establish disease surveillance and infection control systems; (r) to provide public health services; (s) to maintain quality assurance systems; and (t) to collaborate with state health authorities and healthcare institutions."
521027065,"149. FEDERAL MEDICAL CENTRE, KAFANCHAN","The Federal Medical Centre, Kafanchan, is a federal tertiary healthcare institution located in Kafanchan, Jema'a Local Government Area of Kaduna State, southern Kaduna region, Nigeria. Established under Federal Ministry of Health, the Centre provides specialized healthcare services to southern Kaduna and surrounding areas. Kafanchan's strategic location as commercial and administrative center in southern Kaduna makes it ideal for tertiary healthcare facility serving the region. The Centre serves southern Kaduna senatorial zone and neighboring communities providing comprehensive specialist medical services. The Centre's core mandate is to provide comprehensive tertiary healthcare services, train healthcare professionals and conduct medical research. Specific functions include: (a) to provide specialized medical services across major clinical disciplines including internal medicine, general surgery, pediatrics, obstetrics and gynecology, orthopedics, ophthalmology and other specialties; (b) to serve as referral center for secondary healthcare facilities in southern Kaduna and surrounding areas; (c) to operate 24-hour emergency department providing accident, emergency and trauma care; (d) to provide comprehensive diagnostic services including clinical laboratory, medical imaging and specialized investigations; (e) to operate intensive care unit, high dependency unit and neonatal intensive care unit; (f) to provide inpatient services across medical, surgical, pediatric and obstetric wards; (g) to offer specialist outpatient clinics in various specialties; (h) to provide maternal and child health services including antenatal care, safe delivery, postnatal care and family planning; (i) to operate theater facilities for surgical procedures; (j) to provide clinical training for medical students through affiliation arrangements; (k) to conduct residency training programmes; (l) to provide internship training for health professionals; (m) to offer continuing professional development; (n) to conduct clinical research; (o) to maintain pharmacy services; (p) to provide physiotherapy and rehabilitation services; (q) to establish disease surveillance and infection control systems; (r) to provide public health services; (s) to maintain quality assurance systems; and (t) to collaborate with state health authorities and healthcare institutions."
521027033,"150. FEDERAL MEDICAL CENTRE, KEBBI STATE","The Federal Medical Centre, Kebbi State (also known as Federal Medical Centre, Birnin Kebbi), is a federal tertiary healthcare institution serving Kebbi State, North-West Nigeria. Established under Federal Ministry of Health, the Centre provides specialized healthcare services to Kebbi State and surrounding areas. Kebbi State, created in 1991 from Sokoto State, requires tertiary healthcare facilities to serve its population. The Centre serves as major referral center for Kebbi State providing comprehensive specialist medical services. The Centre's core mandate is to provide comprehensive tertiary healthcare services, facilitate clinical training of healthcare professionals and conduct medical research. Specific functions include: (a) to provide specialized medical care across major clinical specialties including internal medicine, general surgery, pediatrics, obstetrics and gynecology, orthopedics, ophthalmology, ENT and other disciplines; (b) to serve as referral center for secondary healthcare facilities throughout Kebbi State; (c) to operate 24-hour emergency department providing accident, emergency and trauma services; (d) to provide comprehensive diagnostic services including laboratory medicine, medical imaging and specialized investigations; (e) to operate intensive care unit, high dependency unit and neonatal intensive care unit; (f) to provide inpatient services across medical, surgical, pediatric and obstetric wards; (g) to offer specialist outpatient clinics in various specialties; (h) to provide maternal and child health services including antenatal care, safe delivery, postnatal care and family planning; (i) to operate theater facilities for surgical procedures; (j) to provide clinical training for medical students; (k) to conduct residency training programmes; (l) to provide internship training for health professionals; (m) to offer continuing professional development; (n) to conduct clinical research; (o) to maintain pharmacy services; (p) to provide physiotherapy and rehabilitation services; (q) to establish disease surveillance and infection control systems; (r) to provide public health services; (s) to maintain quality assurance systems; and (t) to collaborate with state health authorities and healthcare institutions."
521027031,"151. FEDERAL MEDICAL CENTRE, KOGI","The Federal Medical Centre, Kogi (also known as Federal Medical Centre, Lokoja), is a federal tertiary healthcare institution serving Kogi State, North-Central Nigeria. Established under Federal Ministry of Health, the Centre is located in Lokoja, Kogi State capital at the confluence of Rivers Niger and Benue. The Centre provides specialized healthcare services to Kogi State and surrounding areas in North-Central region. The Centre's core mandate is to provide comprehensive tertiary healthcare services, facilitate clinical training of healthcare professionals and conduct medical research. Specific functions include: (a) to provide specialized medical services across major clinical disciplines including internal medicine, general surgery, pediatrics, obstetrics and gynecology, orthopedics, ophthalmology, ENT and other specialties; (b) to serve as major referral center for secondary healthcare facilities throughout Kogi State; (c) to operate 24-hour emergency department providing accident, emergency and trauma care; (d) to provide comprehensive diagnostic services including clinical laboratory, medical imaging and specialized investigations; (e) to operate intensive care unit, high dependency unit and neonatal intensive care unit; (f) to provide inpatient services across medical, surgical, pediatric and obstetric wards; (g) to offer specialist outpatient clinics in various specialties; (h) to provide maternal and child health services including antenatal care, safe delivery, postnatal care and family planning; (i) to operate theater facilities for surgical procedures; (j) to provide clinical training for medical students through affiliation with medical schools; (k) to conduct residency training programmes; (l) to provide internship training for health professionals; (m) to offer continuing professional development; (n) to conduct clinical research; (o) to maintain pharmacy services; (p) to provide physiotherapy and rehabilitation services; (q) to establish disease surveillance and infection control systems; (r) to provide public health services; (s) to maintain quality assurance systems; and (t) to collaborate with state health authorities and healthcare institutions."
521027021,"152. FEDERAL MEDICAL CENTRE, MAKURDI","The Federal Medical Centre, Makurdi, is a federal tertiary healthcare institution located in Makurdi, Benue State capital, North-Central Nigeria. Established under Federal Ministry of Health, the Centre provides specialized healthcare services to Benue State and surrounding areas. Makurdi's position as Benue State capital and major commercial center in Middle Belt region creates significant healthcare demands. The Centre serves as major referral center for Benue State and neighboring states providing comprehensive specialist medical services. The Centre's core mandate is to provide comprehensive tertiary healthcare services, facilitate clinical training of healthcare professionals and conduct medical research. Specific functions include: (a) to provide specialized medical services across major clinical disciplines including internal medicine, general surgery, pediatrics, obstetrics and gynecology, orthopedics, ophthalmology, ENT, psychiatry and other specialties; (b) to serve as major referral center for secondary healthcare facilities in Benue State and surrounding Middle Belt region; (c) to operate 24-hour emergency department providing accident, emergency and trauma care; (d) to provide comprehensive diagnostic services including clinical laboratory, medical imaging and specialized investigations; (e) to operate intensive care units, high dependency units and neonatal intensive care units; (f) to provide inpatient services with large bed capacity across medical, surgical, pediatric and obstetric wards; (g) to offer specialist outpatient clinics in various specialties; (h) to provide comprehensive maternal and child health services including antenatal care, safe delivery, postnatal care and family planning; (i) to operate modern theater facilities for surgical procedures; (j) to provide clinical training for undergraduate medical students through affiliation with medical schools; (k) to conduct postgraduate medical training including residency programmes; (l) to provide internship training for medical graduates, pharmacists, laboratory scientists, nurses and other health professionals; (m) to offer continuing medical education programmes; (n) to conduct clinical and health systems research; (o) to maintain comprehensive pharmacy services; (p) to provide physiotherapy and rehabilitation services; (q) to establish disease surveillance and infection control systems; (r) to provide public health services; (s) to maintain quality assurance and clinical governance structures; and (t) to collaborate with teaching hospitals, state health authorities and healthcare organizations."
521027055,"153. FEDERAL MEDICAL CENTRE, MUBI, ADAMAWA STATE","The Federal Medical Centre, Mubi, is a federal tertiary healthcare institution located in Mubi, Mubi North Local Government Area of Adamawa State, northern Nigeria. Established under Federal Ministry of Health, the Centre provides specialized healthcare services to northern Adamawa State and surrounding border areas. Mubi's strategic location near Cameroon border and as commercial center in northern Adamawa creates healthcare access point for significant population. The Centre serves as referral center for northern Adamawa providing comprehensive specialist medical services. The Centre's core mandate is to provide comprehensive tertiary healthcare services, train healthcare professionals and conduct medical research. Specific functions include: (a) to provide specialized medical services across major clinical disciplines including internal medicine, general surgery, pediatrics, obstetrics and gynecology, orthopedics, ophthalmology and other specialties; (b) to serve as referral center for secondary healthcare facilities in northern Adamawa State and border communities; (c) to operate 24-hour emergency department providing accident, emergency and trauma care; (d) to provide comprehensive diagnostic services including clinical laboratory, medical imaging and specialized investigations; (e) to operate intensive care unit, high dependency unit and neonatal intensive care unit; (f) to provide inpatient services across medical, surgical, pediatric and obstetric wards; (g) to offer specialist outpatient clinics; (h) to provide maternal and child health services including antenatal care, safe delivery, postnatal care and family planning; (i) to operate theater facilities for surgical procedures; (j) to provide clinical training for medical students; (k) to conduct residency training programmes; (l) to provide internship training for health professionals; (m) to offer continuing professional development; (n) to conduct clinical research; (o) to maintain pharmacy services; (p) to provide physiotherapy and rehabilitation services; (q) to establish disease surveillance and infection control systems; (r) to provide public health services; (s) to maintain quality assurance systems; and (t) to collaborate with state health authorities and healthcare institutions."
521027036,"154. FEDERAL MEDICAL CENTRE, NASARAWA STATE","The Federal Medical Centre, Nasarawa State (also known as Federal Medical Centre, Keffi), is a federal tertiary healthcare institution serving Nasarawa State, North-Central Nigeria. Established under Federal Ministry of Health, the Centre provides specialized healthcare services to Nasarawa State and surrounding areas. Nasarawa State, created in 1996 from Plateau State, requires tertiary healthcare facilities to serve its population. The Centre serves as referral center for Nasarawa State providing comprehensive specialist medical services. The Centre's core mandate is to provide comprehensive tertiary healthcare services, facilitate clinical training of healthcare professionals and conduct medical research. Specific functions include: (a) to provide specialized medical care across major clinical specialties including internal medicine, general surgery, pediatrics, obstetrics and gynecology, orthopedics, ophthalmology, ENT and other disciplines; (b) to serve as referral center for secondary healthcare facilities throughout Nasarawa State; (c) to operate 24-hour emergency department providing accident, emergency and trauma services; (d) to provide comprehensive diagnostic services including laboratory medicine, medical imaging and specialized investigations; (e) to operate intensive care unit, high dependency unit and neonatal intensive care unit; (f) to provide inpatient services across medical, surgical, pediatric and obstetric wards; (g) to offer specialist outpatient clinics in various specialties; (h) to provide maternal and child health services including antenatal care, safe delivery, postnatal care and family planning; (i) to operate theater facilities for surgical procedures; (j) to provide clinical training for medical students through affiliation arrangements; (k) to conduct residency training programmes; (l) to provide internship training for health professionals; (m) to offer continuing professional development; (n) to conduct clinical research; (o) to maintain pharmacy services; (p) to provide physiotherapy and rehabilitation services; (q) to establish disease surveillance and infection control systems; (r) to provide public health services; (s) to maintain quality assurance systems; and (t) to collaborate with state health authorities and healthcare institutions."
521027024,"155. FEDERAL MEDICAL CENTRE, NGURU YOBE","The Federal Medical Centre, Nguru, is a federal tertiary healthcare institution located in Nguru, Nguru Local Government Area of Yobe State, North-East Nigeria. Established under Federal Ministry of Health, the Centre provides specialized healthcare services to western Yobe State and surrounding areas. Nguru's location in western Yobe State creates strategic healthcare access point for communities in the region. The Centre serves as referral center for western Yobe State providing comprehensive specialist medical services. The Centre's core mandate is to provide comprehensive tertiary healthcare services, train healthcare professionals and conduct medical research. Specific functions include: (a) to provide specialized medical services across major clinical disciplines including internal medicine, general surgery, pediatrics, obstetrics and gynecology, orthopedics, ophthalmology and other specialties; (b) to serve as referral center for secondary healthcare facilities in Yobe State western senatorial zone and surrounding areas; (c) to operate 24-hour emergency department providing accident, emergency and trauma care; (d) to provide comprehensive diagnostic services including clinical laboratory, medical imaging and specialized investigations; (e) to operate intensive care unit, high dependency unit and neonatal intensive care unit; (f) to provide inpatient services across medical, surgical, pediatric and obstetric wards; (g) to offer specialist outpatient clinics; (h) to provide maternal and child health services including antenatal care, safe delivery, postnatal care and family planning; (i) to operate theater facilities for surgical procedures; (j) to provide clinical training for medical students; (k) to conduct residency training programmes; (l) to provide internship training for health professionals; (m) to offer continuing professional development; (n) to conduct clinical research; (o) to maintain pharmacy services; (p) to provide physiotherapy and rehabilitation services; (q) to establish disease surveillance and infection control systems; (r) to provide public health services; (s) to maintain quality assurance systems; and (t) to collaborate with state health authorities and healthcare institutions."
521027018,"156. FEDERAL MEDICAL CENTRE, OWO","The Federal Medical Centre, Owo, is a federal tertiary healthcare institution located in Owo, Owo Local Government Area of Ondo State, South-West Nigeria. Established under Federal Ministry of Health, the Centre provides specialized healthcare services to northern Ondo State and surrounding areas. Owo's historic and commercial significance in northern Ondo State creates healthcare demands requiring tertiary facility. The Centre serves as referral center for northern Ondo State providing comprehensive specialist medical services. The Centre's core mandate is to provide comprehensive tertiary healthcare services, facilitate clinical training of healthcare professionals and conduct medical research. Specific functions include: (a) to provide specialized medical services across major clinical disciplines including internal medicine, general surgery, pediatrics, obstetrics and gynecology, orthopedics, ophthalmology, ENT and other specialties; (b) to serve as referral center for secondary healthcare facilities in Ondo State northern senatorial zone and surrounding areas; (c) to operate 24-hour emergency department providing accident, emergency and trauma care; (d) to provide comprehensive diagnostic services including clinical laboratory, medical imaging and specialized investigations; (e) to operate intensive care unit, high dependency unit and neonatal intensive care unit; (f) to provide inpatient services across medical, surgical, pediatric and obstetric wards; (g) to offer specialist outpatient clinics in various specialties; (h) to provide maternal and child health services including antenatal care, safe delivery, postnatal care and family planning; (i) to operate theater facilities for surgical procedures; (j) to provide clinical training for medical students through affiliation with medical schools; (k) to conduct residency training programmes; (l) to provide internship training for health professionals; (m) to offer continuing professional development; (n) to conduct clinical research; (o) to maintain pharmacy services; (p) to provide physiotherapy and rehabilitation services; (q) to establish disease surveillance and infection control systems; (r) to provide public health services; (s) to maintain quality assurance systems; and (t) to collaborate with state health authorities and healthcare institutions."
521027034,"157. FEDERAL MEDICAL CENTRE, TARABA STATE","The Federal Medical Centre, Taraba State (also known as Federal Medical Centre, Jalingo), is a federal tertiary healthcare institution serving Taraba State, North-East Nigeria. Established under Federal Ministry of Health, the Centre provides specialized healthcare services to Taraba State and surrounding areas. Taraba State, created in 1991 from former Gongola State, requires tertiary healthcare facilities to serve its diverse population. The Centre serves as major referral center for Taraba State providing comprehensive specialist medical services. The Centre's core mandate is to provide comprehensive tertiary healthcare services, facilitate clinical training of healthcare professionals and conduct medical research. Specific functions include: (a) to provide specialized medical care across major clinical specialties including internal medicine, general surgery, pediatrics, obstetrics and gynecology, orthopedics, ophthalmology, ENT and other disciplines; (b) to serve as referral center for secondary healthcare facilities throughout Taraba State; (c) to operate 24-hour emergency department providing accident, emergency and trauma services; (d) to provide comprehensive diagnostic services including laboratory medicine, medical imaging and specialized investigations; (e) to operate intensive care unit, high dependency unit and neonatal intensive care unit; (f) to provide inpatient services across medical, surgical, pediatric and obstetric wards; (g) to offer specialist outpatient clinics in various specialties; (h) to provide maternal and child health services including antenatal care, safe delivery, postnatal care and family planning; (i) to operate theater facilities for surgical procedures; (j) to provide clinical training for medical students through affiliation arrangements; (k) to conduct residency training programmes; (l) to provide internship training for health professionals; (m) to offer continuing professional development; (n) to conduct clinical research; (o) to maintain pharmacy services; (p) to provide physiotherapy and rehabilitation services; (q) to establish disease surveillance and infection control systems; (r) to provide public health services; (s) to maintain quality assurance systems; and (t) to collaborate with state health authorities and healthcare institutions."
521027017,"158. FEDERAL MEDICAL CENTRE, UMUAHIA","The Federal Medical Centre, Umuahia, is a federal tertiary healthcare institution located in Umuahia, Abia State capital, South-East Nigeria. Established under Federal Ministry of Health, the Centre provides specialized healthcare services to Abia State and surrounding areas in South-East region. Umuahia's position as Abia State capital creates significant healthcare demands requiring tertiary facility. The Centre serves as major referral center for Abia State providing comprehensive specialist medical services. The Centre's core mandate is to provide comprehensive tertiary healthcare services, facilitate clinical training of healthcare professionals and conduct medical research. Specific functions include: (a) to provide specialized medical services across major clinical disciplines including internal medicine, general surgery, pediatrics, obstetrics and gynecology, orthopedics, ophthalmology, ENT and other specialties; (b) to serve as major referral center for secondary healthcare facilities throughout Abia State; (c) to operate 24-hour emergency department providing accident, emergency and trauma care; (d) to provide comprehensive diagnostic services including clinical laboratory, medical imaging and specialized investigations; (e) to operate intensive care units, high dependency units and neonatal intensive care units; (f) to provide inpatient services across medical, surgical, pediatric and obstetric wards; (g) to offer specialist outpatient clinics in various specialties; (h) to provide maternal and child health services including antenatal care, safe delivery, postnatal care and family planning; (i) to operate theater facilities for surgical procedures; (j) to provide clinical training for undergraduate medical students through affiliation with medical schools; (k) to conduct postgraduate medical training including residency programmes; (l) to provide internship training for medical graduates, pharmacists, laboratory scientists, nurses and allied health professionals; (m) to offer continuing medical education programmes; (n) to conduct clinical research; (o) to maintain pharmacy services; (p) to provide physiotherapy and rehabilitation services; (q) to establish disease surveillance and infection control systems; (r) to provide public health services; (s) to maintain quality assurance and clinical governance structures; and (t) to collaborate with teaching hospitals, state health authorities and healthcare organizations."
521027067,"159. FEDERAL MEDICAL CENTRES, OVWIAN UDU, DELTA STATE","The Federal Medical Centre, Ovwian Udu, is a federal tertiary healthcare institution located in Ovwian, Udu Local Government Area of Delta State, South-South Nigeria. Established under Federal Ministry of Health, the Centre provides specialized healthcare services to Delta State southern region and surrounding areas. The Centre serves Delta State communities particularly in Warri and Effurun areas providing comprehensive specialist medical services complementing Federal Medical Centre, Asaba. The Centre's core mandate is to provide comprehensive tertiary healthcare services, train healthcare professionals and conduct medical research. Specific functions include: (a) to provide specialized medical services across major clinical disciplines including internal medicine, general surgery, pediatrics, obstetrics and gynecology, orthopedics, ophthalmology and other specialties; (b) to serve as referral center for secondary healthcare facilities in Delta State southern region; (c) to operate 24-hour emergency department providing accident, emergency and trauma care; (d) to provide comprehensive diagnostic services including clinical laboratory, medical imaging and specialized investigations; (e) to operate intensive care unit, high dependency unit and neonatal intensive care unit; (f) to provide inpatient services across medical, surgical, pediatric and obstetric wards; (g) to offer specialist outpatient clinics; (h) to provide maternal and child health services including antenatal care, safe delivery, postnatal care and family planning; (i) to operate theater facilities for surgical procedures; (j) to provide clinical training for medical students through affiliation arrangements; (k) to conduct residency training programmes; (l) to provide internship training for health professionals; (m) to offer continuing professional development; (n) to conduct clinical research; (o) to maintain pharmacy services; (p) to provide physiotherapy and rehabilitation services; (q) to establish disease surveillance and infection control systems; (r) to provide public health services; (s) to maintain quality assurance systems; and (t) to collaborate with state health authorities and healthcare institutions."
